"Reference","Qty","Value","Price","Footprint","Price_conect","DNP","Exclude from BOM","Exclude from Board","Datasheet"
"REq1,REq2,REq3,REq4,REq5,REq6","6","47","0.021","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","","","",""
"Rg1,Rg2,Rg3,Rg4,Rg5,Rg6","6","22","0.024","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","","","",""
"Rled1,Rled2,Rled3,Rled4,Rled5,Rled6","6","1.2k","0.021","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","","","","",""
"Rpup2,Rpup3,Rpup4,Rstart1","4","2.2k","0.024","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","","","",""
"RT1,RT2,RT3","3","1k","0.0165","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical","","","","",""
"RVAmp1,RVAmp2,RVAmp3,RVAmp4,RVAmp5,RVAmp6","6","20K","1.095","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","","","",""
"RVRep1,RVRep2","2","50K","1.3","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","","","",""
"SWfan1","1","SW_SPST","0","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","","","","","~"
"SWphase1","1","SW_Push_DPDT","3.28","Custom:CONN9_2601-3109_WAG","","","","","~https://app.adam-tech.com/products/download/data_sheet/203453/sw-t2-6x-b-a2-m3-data-sheet.pdf"
"TRiso1","1","1:1","--","Custom:CONN4_2604-3104_WAG","4.6504","","","",""
"U+-1","1","TMR_1-0522SM","20.89","Custom:REC30K_RCP","","","","","http://assets.tracopower.com/TMR1SM/documents/tmr1sm-datasheet.pdf"
"Udead1,Udead2,Udead3","3","LM393","0.4245","Package_DIP:DIP-8_W7.62mm_LongPads","","","","","http://www.ti.com/lit/ds/symlink/lm393.pdf"
"Upot1,Uref1,Uref2,Uref3","4","TMR_1-1215","9.668","Custom:DC_MEV3_7P65X19P65_MUR","","","","","https://power.murata.com/pub/data/power/ncl/kdc_mee1.pdf"
"Upwm1,Upwm2,Upwm3","3","TL494","0.51","PCM_Package_DIP_AKL:DIP-16_W7.62mm","","","","","http://www.ti.com/lit/ds/symlink/tl494.pdf"
"URep1,URep2,URep3,URep4,URep5,URep6","6","LM318N","1.203","PCM_Package_DIP_AKL:DIP-8_W7.62mm_LongPads","","","","","https://www.ti.com/lit/ds/symlink/lm318-n.pdf"
"Wsense1","1","~","12.44","Custom:CONN4_2604-3104_WAG","4.6504","","","",""
